Wavelength,EQE
300,4.000112523
305,5.751501187
310,9.813723174
315,14.52412342
320,19.65409282
325,23.27688765
330,26.80904692
335,29.45845487
340,31.65341792
345,33.51098808
350,35.6059259
355,37.95575412
360,40.38640712
365,42.5200745
370,43.38343513
375,43.11834197
380,42.41065092
385,41.54301945
390,40.55423964
395,39.55919945
400,38.46141592
405,37.74131846
410,37.34523618
415,37.26279147
420,37.52516427
425,38.04420628
430,38.35879366
435,39.49420184
440,40.78692751
445,42.16744647
450,43.63614338
455,44.95116495
460,45.81702803
465,46.42074524
470,46.81747085
475,46.99918611
480,47.03652324
485,46.93686491
490,46.64400261
495,46.28443561
500,45.91357281
505,45.59586848
510,45.30953692
515,44.9842075
520,44.72054403
525,44.56683433
530,44.43836375
535,44.2966968
540,44.20825912
545,44.19236022
550,44.2674148
555,44.44941141
560,44.75762835
565,45.17225311
570,45.64161531
575,45.97435572
580,46.22351207
585,46.37248602
590,46.41170329
595,46.46508182
600,46.49568787
605,46.8018347
610,47.01683255
615,47.19050817
620,47.26030066
625,47.23083285
630,47.05774995
635,46.71469008
640,46.17838908
645,45.45955739
650,44.67912376
655,44.01183696
660,43.55545234
665,43.31961899
670,43.2779031
675,43.42416124
680,43.82307639
685,44.12706686
690,44.42243051
695,44.70927792
700,44.80955709
705,44.95327217
710,45.02089071
715,45.06416384
720,45.07103312
725,45.02879673
730,44.94168268
735,44.82538046
740,44.6984712
745,44.56103837
750,44.41103071
755,44.27510649
760,44.1564313
765,44.07693847
770,44.00567918
775,43.86695114
780,43.71396581
785,43.49548767
790,43.25782822
795,43.00012612
800,42.67379191
805,42.22696653
810,41.71000326
815,41.06497249
820,40.26886011
825,39.33402918
830,38.23085286
835,36.99509018
840,35.5241733
845,33.77976302
850,31.78424653
855,29.65415971
860,27.35898976
865,24.94500949
870,22.52497255
875,20.03198319
880,17.64993945
885,15.37824091
890,13.24265473
895,11.24725904
900,9.419033263
905,7.79571186
910,6.394241218
915,5.18069058
920,4.159142445
925,3.305673023
930,2.606061845
935,2.027552187
940,1.57019656
945,1.213778481
950,0.934295039
955,0.717178162
960,0.553687502
965,0.425776115
970,0.328937486
975,0.246392045
980,0.191580767
985,0.145730571
990,0.113164435
995,0.0814635
1000,0.063288598
1005,0.047479741
1010,0.036438775
1015,0.029064856
1020,0.022200946
1025,0.020024912
1030,0.014118185
1035,0.01074571
1040,0.009342998
1045,0.005769018
1050,0.007275386
1055,0.008223812
1060,0.003770872
1065,0.00558316
1070,0.003281551
1075,0.005530918
1080,0.002288802
1085,0.003174288
1090,0.002123383
1095,0.001837545
1100,0.007652125
