Voltage,Current
-1,-1.48E-03
-0.99,-1.48E-03
-0.98,-1.48E-03
-0.97,-1.47E-03
-0.96,-1.48E-03
-0.95,-1.48E-03
-0.94,-1.47E-03
-0.93,-1.48E-03
-0.92,-1.48E-03
-0.91,-1.48E-03
-0.9,-1.47E-03
-0.89,-1.49E-03
-0.88,-1.47E-03
-0.87,-1.48E-03
-0.86,-1.48E-03
-0.85,-1.48E-03
-0.84,-1.47E-03
-0.83,-1.48E-03
-0.82,-1.48E-03
-0.81,-1.48E-03
-0.8,-1.48E-03
-0.79,-1.48E-03
-0.78,-1.48E-03
-0.77,-1.48E-03
-0.76,-1.48E-03
-0.75,-1.48E-03
-0.74,-1.48E-03
-0.73,-1.49E-03
-0.72,-1.50E-03
-0.71,-1.49E-03
-0.7,-1.46E-03
-0.69,-1.49E-03
-0.68,-1.49E-03
-0.67,-1.47E-03
-0.66,-1.49E-03
-0.65,-1.49E-03
-0.64,-1.49E-03
-0.63,-1.48E-03
-0.62,-1.48E-03
-0.61,-1.49E-03
-0.6,-1.50E-03
-0.59,-1.48E-03
-0.58,-1.48E-03
-0.57,-1.48E-03
-0.56,-1.47E-03
-0.55,-1.48E-03
-0.54,-1.48E-03
-0.53,-1.47E-03
-0.52,-1.47E-03
-0.51,-1.47E-03
-0.5,-1.48E-03
-0.49,-1.47E-03
-0.48,-1.47E-03
-0.47,-1.47E-03
-0.46,-1.47E-03
-0.45,-1.48E-03
-0.44,-1.47E-03
-0.43,-1.47E-03
-0.42,-1.47E-03
-0.41,-1.47E-03
-0.4,-1.47E-03
-0.39,-1.46E-03
-0.38,-1.47E-03
-0.37,-1.47E-03
-0.36,-1.46E-03
-0.35,-1.47E-03
-0.34,-1.47E-03
-0.33,-1.46E-03
-0.32,-1.47E-03
-0.31,-1.47E-03
-0.3,-1.47E-03
-0.29,-1.46E-03
-0.28,-1.47E-03
-0.27,-1.47E-03
-0.26,-1.46E-03
-0.25,-1.47E-03
-0.24,-1.47E-03
-0.23,-1.46E-03
-0.22,-1.46E-03
-0.21,-1.47E-03
-0.2,-1.46E-03
-0.19,-1.46E-03
-0.18,-1.46E-03
-0.17,-1.47E-03
-0.16,-1.46E-03
-0.15,-1.46E-03
-0.14,-1.45E-03
-0.13,-1.46E-03
-0.12,-1.45E-03
-0.11,-1.46E-03
-0.1,-1.46E-03
-0.09,-1.45E-03
-0.08,-1.45E-03
-0.07,-1.46E-03
-0.06,-1.46E-03
-0.05,-1.46E-03
-0.04,-1.45E-03
-0.03,-1.46E-03
-0.02,-1.45E-03
-0.01,-1.45E-03
0,-1.45E-03
0.01,-1.45E-03
0.02,-1.45E-03
0.03,-1.45E-03
0.04,-1.46E-03
0.05,-1.45E-03
0.06,-1.45E-03
0.07,-1.45E-03
0.08,-1.45E-03
0.09,-1.46E-03
0.1,-1.45E-03
0.11,-1.44E-03
0.12,-1.45E-03
0.13,-1.45E-03
0.14,-1.44E-03
0.15,-1.44E-03
0.16,-1.44E-03
0.17,-1.45E-03
0.18,-1.44E-03
0.19,-1.45E-03
0.2,-1.44E-03
0.21,-1.44E-03
0.22,-1.45E-03
0.23,-1.44E-03
0.24,-1.44E-03
0.25,-1.44E-03
0.26,-1.44E-03
0.27,-1.44E-03
0.28,-1.44E-03
0.29,-1.44E-03
0.3,-1.44E-03
0.31,-1.43E-03
0.32,-1.43E-03
0.33,-1.44E-03
0.34,-1.43E-03
0.35,-1.43E-03
0.36,-1.43E-03
0.37,-1.43E-03
0.38,-1.42E-03
0.39,-1.43E-03
0.4,-1.43E-03
0.41,-1.42E-03
0.42,-1.41E-03
0.43,-1.41E-03
0.44,-1.41E-03
0.45,-1.41E-03
0.46,-1.41E-03
0.47,-1.40E-03
0.48,-1.39E-03
0.49,-1.40E-03
0.5,-1.39E-03
0.51,-1.40E-03
0.52,-1.40E-03
0.53,-1.39E-03
0.54,-1.39E-03
0.55,-1.38E-03
0.56,-1.38E-03
0.57,-1.38E-03
0.58,-1.37E-03
0.59,-1.37E-03
0.6,-1.36E-03
0.61,-1.35E-03
0.62,-1.34E-03
0.63,-1.33E-03
0.64,-1.32E-03
0.65,-1.31E-03
0.66,-1.30E-03
0.67,-1.28E-03
0.68,-1.27E-03
0.69,-1.23E-03
0.7,-1.20E-03
0.71,-1.19E-03
0.72,-1.14E-03
0.73,-1.10E-03
0.74,-1.05E-03
0.75,-9.82E-04
0.76,-9.01E-04
0.77,-8.02E-04
0.78,-6.83E-04
0.79,-5.57E-04
0.8,-3.91E-04
0.81,-2.04E-04
0.82,1.58E-05
0.83,2.65E-04
0.84,5.44E-04
0.85,8.55E-04
0.86,1.19E-03
0.87,1.56E-03
0.88,1.95E-03
0.89,2.38E-03
0.9,2.82E-03
0.91,3.28E-03
0.92,3.77E-03
0.93,4.27E-03
0.94,4.79E-03
0.95,5.32E-03
0.96,5.87E-03
0.97,6.43E-03
0.98,7.01E-03
0.99,7.59E-03
1,8.18E-03
1.01,8.79E-03
1.02,9.40E-03
1.03,1.00E-02
1.03,1.00E-02
1.03,1.00E-02
1.03,1.00E-02
1.03,1.00E-02
1.03,1.00E-02
1.03,1.00E-02
1.03,1.00E-02
